DATE,bvalue,Open,High,Low,Vol.,Change %
9/21/2018,"6,729.90","6,522.10","6,790.00","6,496.00",38.64K,3.53%
9/20/2018,"6,500.50","6,392.80","6,535.00","6,357.20",16.67K,1.71%
9/19/2018,"6,390.90","6,330.80","6,521.50","6,112.70",29.90K,0.76%
9/18/2018,"6,342.80","6,243.00","6,384.00","6,229.20",15.93K,1.42%
9/17/2018,"6,254.20","6,506.10","6,532.80","6,205.10",23.54K,-3.76%
9/16/2018,"6,498.50","6,512.80","6,517.80","6,384.50",8.73K,-0.23%
9/15/2018,"6,513.60","6,480.10","6,568.90","6,473.60",8.35K,0.44%
9/14/2018,"6,485.00","6,495.00","6,593.00","6,355.60",16.37K,0.15%
9/13/2018,"6,475.60","6,334.00","6,523.40","6,334.00",19.24K,2.27%
9/12/2018,"6,332.00","6,290.90","6,355.00","6,203.10",16.08K,0.65%
9/11/2018,"6,290.80","6,332.10","6,397.10","6,178.10",16.61K,-0.27%
9/10/2018,"6,308.00","6,240.00","6,363.50","6,233.20",14.45K,1.09%
9/9/2018,"6,239.90","6,184.90","6,427.60","6,142.20",16.46K,0.89%
9/8/2018,"6,185.00","6,404.20","6,475.10","6,130.30",21.85K,-3.42%
9/7/2018,"6,404.10","6,516.10","6,532.90","6,322.80",20.74K,-1.71%
9/6/2018,"6,515.60","6,705.00","6,720.80","6,310.30",53.00K,-2.90%
9/5/2018,"6,710.50","7,357.30","7,400.00","6,700.00",55.65K,-8.81%
9/4/2018,"7,358.90","7,267.80","7,410.30","7,246.20",20.82K,1.25%
9/3/2018,"7,268.00","7,304.70","7,341.40","7,200.10",22.31K,-0.31%
9/2/2018,"7,290.40","7,197.50","7,367.00","7,137.20",44.68K,1.29%
9/1/2018,"7,197.50","7,022.90","7,260.40","7,020.50",21.39K,2.44%
8/31/2018,"7,025.90","6,986.10","7,084.00","6,889.00",19.38K,0.45%
8/30/2018,"6,994.70","7,037.90","7,060.00","6,802.40",24.58K,-0.72%
8/29/2018,"7,045.70","7,079.90","7,133.60","6,931.60",19.83K,-0.48%
8/28/2018,"7,079.70","6,910.50","7,127.20","6,872.00",30.07K,2.46%
8/27/2018,"6,909.50","6,707.00","6,911.60","6,653.50",24.21K,3.00%
8/26/2018,"6,708.40","6,732.80","6,784.10","6,574.50",16.75K,-0.36%
8/25/2018,"6,732.90","6,693.30","6,795.50","6,670.00",16.88K,0.55%
8/24/2018,"6,695.90","6,530.50","6,728.30","6,462.70",20.20K,2.58%
8/23/2018,"6,527.20","6,363.80","6,565.60","6,350.00",19.94K,2.71%
8/22/2018,"6,354.90","6,479.10","6,885.00","6,253.00",58.96K,-1.92%
8/21/2018,"6,479.10","6,255.20","6,500.00","6,245.00",29.50K,3.57%
8/20/2018,"6,255.90","6,485.10","6,520.60","6,230.20",31.72K,-3.53%
8/19/2018,"6,485.10","6,395.00","6,550.00","6,309.30",15.35K,1.47%
8/18/2018,"6,391.20","6,585.90","6,615.00","6,301.90",19.73K,-2.92%
8/17/2018,"6,583.30","6,312.00","6,588.70","6,290.20",26.76K,4.27%
8/16/2018,"6,314.00","6,270.20","6,474.70","6,215.20",25.14K,0.70%
8/15/2018,"6,270.10","6,188.60","6,623.80","6,181.10",66.22K,1.31%
8/14/2018,"6,189.00","6,241.30","6,244.00","5,879.30",52.70K,-1.01%
8/13/2018,"6,251.90","6,312.20","6,541.80","6,150.00",32.33K,-0.98%
8/12/2018,"6,313.90","6,234.70","6,481.70","6,163.30",23.05K,1.30%
8/11/2018,"6,232.70","6,147.00","6,485.70","6,008.20",37.12K,1.40%
8/10/2018,"6,146.80","6,533.60","6,573.60","6,014.50",43.50K,-5.86%
8/9/2018,"6,529.10","6,280.70","6,623.70","6,188.20",33.38K,3.98%
8/8/2018,"6,279.20","6,718.80","6,720.10","6,131.00",53.88K,-6.57%
8/7/2018,"6,720.50","6,940.10","7,149.90","6,678.80",32.25K,-3.18%
8/6/2018,"6,941.30","7,025.80","7,149.90","6,847.00",18.12K,-1.20%
8/5/2018,"7,025.80","7,013.20","7,089.70","6,890.20",17.68K,0.18%
8/4/2018,"7,013.20","7,420.00","7,490.00","6,930.00",31.72K,-5.48%
